device=cuda  arch=both  op=rev  smoke=False
    step   9500  loss 0.0000  (140s)
    step  10000  loss 0.0000  (149s)
    step  10500  loss 0.0000  (157s)
    step  11000  loss 0.0000  (166s)
    step  11500  loss 0.0000  (174s)
    step  12000  loss 0.0000  (181s)
  [memory] seed 2 len-gen: w3:1.000  w5:1.000  w8:1.000  w12:1.000  w16:1.000  w20:1.000

================================================================
LENGTH-GEN exact-match accuracy  (op=rev, train_widths=(1, 2, 3, 4, 5))
----------------------------------------------------------------
  width |   baseline |     memory |
  ---------------------------------
     3* |      1.000 |      0.987 |
     5* |      1.000 |      0.794 |
     8  |      0.004 |      0.667 |
    12  |      0.000 |      0.667 |
    16  |      0.000 |      0.667 |
    20  |      0.000 |      0.667 |
  (* = within train width range; beyond = true length generalization)
================================================================

wrote runs/exp3_results.txt:
  op=rev smoke=False hidden=64 steps=12000 seeds=3 train_w=[1, 2, 3, 4, 5] | baseline w3:1.000 w5:1.000 w8:0.004 w12:0.000 w16:0.000 w20:0.000 || memory w3:0.987 w5:0.794 w8:0.667 w12:0.667 w16:0.667 w20:0.667

CONTRAST (mean exact-acc beyond train width 5): baseline=0.001  memory=0.667  gap=+0.666
