device=cuda  arch=both  op=mul  smoke=False
hidden=96 mem=40x12 steps=40000 seeds=3 train_w=[1, 2, 3, 4, 5, 6] test_w=[4, 6, 8, 10, 12, 16, 20]

  [baseline] seed 0  params=35338
    step  38500  loss 0.0756  (687s)
    step  39000  loss 1.5863  (696s)
    step  39500  loss 0.0003  (705s)
    step  40000  loss 0.0001  (714s)
  [baseline] seed 1 len-gen: w4:0.000  w6:0.000  w8:0.000  w10:0.000  w12:0.000  w16:0.000  w20:0.000

  [baseline] seed 2  params=35338
    step      1  loss 2.3104  (0s)
    step    500  loss 1.8532  (10s)
    step   1000  loss 1.9731  (19s)
    step   1500  loss 1.0393  (27s)
    step   2000  loss 0.0043  (36s)
    step   2500  loss 1.8502  (45s)
    step   3000  loss 1.5943  (54s)
    step   3500  loss 1.7383  (63s)
    step   4000  loss 1.5581  (72s)
    step   4500  loss 0.0008  (81s)
    step   5000  loss 1.2594  (89s)
    step   5500  loss 1.7931  (98s)
    step   6000  loss 1.7800  (107s)
    step   6500  loss 1.4800  (116s)
    step   7000  loss 1.6155  (125s)
    step   7500  loss 1.6421  (135s)
    step   8000  loss 1.7303  (144s)
    step   8500  loss 1.7304  (153s)
    step   9000  loss 1.6092  (162s)
    step   9500  loss 1.4018  (171s)
    step  10000  loss 0.4601  (182s)
    step  10500  loss 0.0006  (193s)
    step  11000  loss 1.7084  (205s)
    step  11500  loss 0.0006  (217s)
    step  12000  loss 1.3741  (228s)
    step  12500  loss 0.0005  (240s)
    step  13000  loss 0.0005  (251s)
    step  13500  loss 0.9974  (263s)
    step  14000  loss 1.6617  (274s)
    step  14500  loss 0.9579  (286s)
    step  15000  loss 1.5364  (297s)
    step  15500  loss 1.2944  (309s)
    step  16000  loss 1.6310  (323s)
    step  16500  loss 1.2865  (338s)
    step  17000  loss 0.9229  (352s)
    step  17500  loss 1.2860  (366s)
    step  18000  loss 0.0002  (377s)
    step  18500  loss 1.4988  (388s)
    step  19000  loss 1.4737  (400s)
    step  19500  loss 1.6165  (411s)
    step  20000  loss 0.1846  (423s)
    step  20500  loss 1.6315  (434s)
    step  21000  loss 0.1578  (446s)
    step  21500  loss 1.2370  (457s)
    step  22000  loss 0.1600  (466s)
    step  22500  loss 1.4539  (474s)
    step  23000  loss 1.5980  (484s)
    step  23500  loss 0.1277  (493s)
    step  24000  loss 0.1352  (502s)
    step  24500  loss 0.0003  (510s)
    step  25000  loss 0.0002  (520s)
    step  25500  loss 0.1941  (531s)
    step  26000  loss 0.0001  (544s)
    step  26500  loss 0.0001  (556s)
    step  27000  loss 0.1187  (568s)
    step  27500  loss 0.0002  (580s)
    step  28000  loss 0.8450  (593s)
    step  28500  loss 0.0935  (605s)
    step  29000  loss 1.2602  (617s)
    step  29500  loss 1.2103  (629s)
    step  30000  loss 1.5801  (642s)
    step  30500  loss 1.2308  (654s)
    step  31000  loss 1.5710  (667s)
    step  31500  loss 0.0001  (679s)
    step  32000  loss 1.5719  (692s)
    step  32500  loss 0.8583  (705s)
    step  33000  loss 1.2122  (717s)
    step  33500  loss 1.1932  (729s)
    step  34000  loss 1.2236  (742s)
    step  34500  loss 1.1949  (756s)
    step  35000  loss 0.0002  (771s)
    step  35500  loss 0.0880  (785s)
    step  36000  loss 0.0001  (799s)
    step  36500  loss 1.2001  (813s)
    step  37000  loss 1.4161  (828s)
    step  37500  loss 0.8288  (842s)
    step  38000  loss 0.0003  (856s)
    step  38500  loss 0.0672  (871s)
    step  39000  loss 1.5921  (885s)
    step  39500  loss 0.0001  (899s)
    step  40000  loss 0.0001  (914s)
  [baseline] seed 2 len-gen: w4:0.000  w6:0.000  w8:0.000  w10:0.000  w12:0.000  w16:0.000  w20:0.000

  [memory] seed 0  params=41533
    step      1  loss 2.3119  (0s)
    step    500  loss 1.8647  (19s)
    step   1000  loss 1.9637  (37s)
    step   1500  loss 1.0636  (52s)
    step   2000  loss 0.0073  (69s)
