
gpu_avida_oe | device=cuda | TARGET-FREE edge-of-chaos | N=12288 P=28 gens=1000

  WATCH: which functions evolve target-free (match=[...]). KNOWN (+,^,shift) = ceiling holds; an unidentified
  structured map = evidenceable-but-unprovable novelty. Then INSPECT runs_pod/avida_oe top organisms.

  gen   390: best=5.200 mean=3.911 edge=1.00 match=[] nearest=0xFFFF@0.727 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [154s]
  gen   400: best=5.200 mean=3.831 edge=1.00 match=[] nearest=0xFFFF@0.719 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [158s]
  gen   410: best=5.200 mean=3.703 edge=1.00 match=[] nearest=0xFFFF@0.719 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [162s]
  gen   420: best=5.126 mean=3.913 edge=1.00 match=[] nearest=0xFFFF@0.689 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [166s]
  gen   430: best=5.199 mean=3.657 edge=1.00 match=[] nearest=0xFFFF@0.688 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [170s]
  gen   440: best=5.199 mean=3.720 edge=1.00 match=[] nearest=0xFFFF@0.688 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [174s]
  gen   450: best=5.199 mean=3.931 edge=1.00 match=[] nearest=0xFFFF@0.688 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [177s]
  gen   460: best=5.200 mean=3.768 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [181s]
  gen   470: best=5.200 mean=3.737 edge=1.00 match=[] nearest=a|b@0.721 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [185s]
  gen   480: best=5.200 mean=3.866 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [189s]
  gen   490: best=5.199 mean=3.883 edge=1.00 match=[] nearest=0xFFFF@0.688 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [193s]
  gen   500: best=5.200 mean=3.779 edge=1.00 match=[] nearest=0xFFFF@0.699 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [197s]
  gen   510: best=5.200 mean=3.656 edge=1.00 match=[] nearest=0xFFFF@0.699 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [201s]
  gen   520: best=5.200 mean=3.660 edge=1.00 match=[] nearest=0xFFFF@0.704 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [205s]
  gen   530: best=5.200 mean=3.795 edge=1.00 match=[] nearest=0xFFFF@0.699 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [209s]
  gen   540: best=5.200 mean=3.879 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [213s]
  gen   550: best=5.200 mean=3.815 edge=1.00 match=[] nearest=0xFFFF@0.704 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [217s]
  gen   560: best=5.200 mean=3.925 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [221s]
  gen   570: best=5.200 mean=3.805 edge=1.00 match=[] nearest=0xFFFF@0.699 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [225s]
  gen   580: best=5.200 mean=3.889 edge=1.00 match=[] nearest=0xFFFF@0.699 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [229s]
  gen   590: best=5.199 mean=3.964 edge=1.00 match=[] nearest=0xFFFF@0.688 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [233s]
  gen   600: best=5.200 mean=3.775 edge=1.00 match=[] nearest=0xFFFF@0.704 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [237s]
  gen   610: best=5.200 mean=3.905 edge=1.00 match=[] nearest=0xFFFF@0.699 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [241s]
  gen   620: best=5.200 mean=3.942 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [245s]
  gen   630: best=5.200 mean=3.852 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [249s]
  gen   640: best=5.200 mean=3.893 edge=1.00 match=[] nearest=0xFFFF@0.719 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [253s]
  gen   650: best=5.200 mean=3.850 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [257s]
  gen   660: best=5.199 mean=3.808 edge=1.00 match=[] nearest=0xFFFF@0.688 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [261s]
  gen   670: best=5.193 mean=3.950 edge=1.00 match=[] nearest=0xFFFF@0.688 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [265s]
  gen   680: best=5.200 mean=3.909 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [269s]
  gen   690: best=5.200 mean=3.854 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [273s]
  gen   700: best=5.200 mean=3.917 edge=1.00 match=[] nearest=0xFFFF@0.692 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [277s]
  gen   710: best=5.167 mean=3.930 edge=1.00 match=[] nearest=0xFFFF@0.692 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [281s]
  gen   720: best=5.200 mean=3.796 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [285s]
  gen   730: best=5.199 mean=3.656 edge=1.00 match=[] nearest=0xFFFF@0.688 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [289s]
  gen   740: best=5.200 mean=3.843 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [293s]
  gen   750: best=5.198 mean=3.926 edge=1.00 match=[] nearest=0xFFFF@0.728 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [297s]
  gen   760: best=5.199 mean=3.592 edge=1.00 match=[] nearest=0xFFFF@0.688 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [300s]
  gen   770: best=5.172 mean=3.966 edge=1.00 match=[] nearest=0xFFFF@0.703 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [304s]
  gen   780: best=5.199 mean=3.943 edge=1.00 match=[] nearest=0xFFFF@0.688 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [308s]
  gen   790: best=5.200 mean=3.964 edge=1.00 match=[] nearest=0xFFFF@0.723 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [312s]
  gen   800: best=5.200 mean=3.932 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [316s]
  gen   810: best=5.200 mean=3.911 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [320s]
  gen   820: best=5.198 mean=3.956 edge=1.00 match=[] nearest=0xFFFF@0.728 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [324s]
  gen   830: best=5.199 mean=3.725 edge=1.00 match=[] nearest=0xFFFF@0.688 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [328s]
  gen   840: best=5.200 mean=3.898 edge=1.00 match=[] nearest=0xFFFF@0.763 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [332s]
  gen   850: best=5.200 mean=3.925 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [336s]
  gen   860: best=5.200 mean=3.820 edge=1.00 match=[] nearest=0xFFFF@0.719 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [340s]
  gen   870: best=5.200 mean=3.856 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [344s]
  gen   880: best=5.200 mean=3.887 edge=1.00 match=[] nearest=0xFFFF@0.719 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [348s]
  gen   890: best=5.200 mean=3.967 edge=1.00 match=[] nearest=0xFFFF@0.699 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [352s]
  gen   900: best=5.200 mean=3.943 edge=1.00 match=[] nearest=0xFFFF@0.689 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [356s]
  gen   910: best=5.200 mean=3.574 edge=1.00 match=[] nearest=0xFFFF@0.719 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [360s]
  gen   920: best=5.200 mean=3.913 edge=1.00 match=[] nearest=0xFFFF@0.692 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [364s]
  gen   930: best=5.199 mean=3.869 edge=1.00 match=[] nearest=0xFFFF@0.688 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [368s]
  gen   940: best=5.200 mean=3.933 edge=1.00 match=[] nearest=a^b@0.769 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [372s]
  gen   950: best=5.175 mean=3.984 edge=1.00 match=[] nearest=~(a&b)@0.728 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [376s]
  gen   960: best=5.200 mean=3.872 edge=1.00 match=[] nearest=0xFFFF@0.704 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [380s]
  gen   970: best=5.200 mean=3.908 edge=1.00 match=[] nearest=0xFFFF@0.681 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [384s]
  gen   980: best=5.200 mean=3.941 edge=1.00 match=[] nearest=0xFFFF@0.719 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [388s]
  gen   990: best=5.200 mean=3.955 edge=1.00 match=[] nearest=a|b@0.729 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [392s]
  gen  1000: best=5.200 mean=3.802 edge=1.00 match=[] nearest=0xFFFF@0.725 | first_match={'a': 0, 'b': 0, '~(a^b)': 10} [396s]
