
gpu_avida_loop | device=cuda | maxit=1 (reachable depth ~P*maxit=24) N=6144 gens=600

  HEADLINE: top_named_sim as a function of reachable depth. DROP with depth -> named region is
  shallow (depth was the gate). FLAT-HIGH -> naming-density extends deep (recognition is the ceiling).

  gen   320: best=4.91 edge=1.00 top_named_sim=0.806 named_in_top5=0 | ~0@0.806 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [93s]
  gen   330: best=5.00 edge=1.00 top_named_sim=0.826 named_in_top5=0 | ~0xFFFF@0.826 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [96s]
  gen   340: best=4.87 edge=1.00 top_named_sim=0.826 named_in_top5=0 | ~0xFFFF@0.826 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [99s]
  gen   350: best=4.81 edge=1.00 top_named_sim=0.827 named_in_top5=0 | ~0@0.827 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [101s]
  gen   360: best=4.89 edge=1.00 top_named_sim=0.827 named_in_top5=0 | ~0xFFFF@0.827 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [104s]
  gen   370: best=5.01 edge=1.00 top_named_sim=0.788 named_in_top5=0 | ~b<<3@0.788 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [107s]
  gen   380: best=5.04 edge=0.99 top_named_sim=0.804 named_in_top5=0 | ~0xFFFF@0.804 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [110s]
  gen   390: best=4.87 edge=1.00 top_named_sim=0.831 named_in_top5=0 | ~0@0.831 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [113s]
  gen   400: best=4.72 edge=0.97 top_named_sim=0.682 named_in_top5=0 | ~a<<3@0.682 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [116s]
  gen   410: best=4.80 edge=1.00 top_named_sim=0.827 named_in_top5=0 | ~0@0.827 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [119s]
  gen   420: best=4.88 edge=1.00 top_named_sim=0.831 named_in_top5=0 | ~0@0.831 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [121s]
  gen   430: best=4.90 edge=1.00 top_named_sim=0.581 named_in_top5=0 | ~0xFFFF@0.581 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [124s]
  gen   440: best=4.97 edge=1.00 top_named_sim=0.581 named_in_top5=0 | ~0xFFFF@0.581 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [127s]
  gen   450: best=4.68 edge=1.00 top_named_sim=0.827 named_in_top5=0 | ~0@0.827 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [130s]
  gen   460: best=4.88 edge=1.00 top_named_sim=0.826 named_in_top5=0 | ~0@0.826 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [133s]
  gen   470: best=4.77 edge=1.00 top_named_sim=0.640 named_in_top5=0 | ~a<<4@0.64 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [136s]
  gen   480: best=4.74 edge=1.00 top_named_sim=0.640 named_in_top5=0 | ~a<<4@0.64 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [139s]
  gen   490: best=5.04 edge=1.00 top_named_sim=0.826 named_in_top5=0 | ~0@0.826 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [142s]
  gen   500: best=4.70 edge=1.00 top_named_sim=0.827 named_in_top5=0 | ~0@0.827 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [144s]
  gen   510: best=4.69 edge=1.00 top_named_sim=0.826 named_in_top5=0 | ~0@0.826 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [147s]
  gen   520: best=4.76 edge=0.99 top_named_sim=0.644 named_in_top5=0 | ~0@0.644 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [150s]
  gen   530: best=4.78 edge=1.00 top_named_sim=0.630 named_in_top5=0 | ~a<<4@0.63 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [153s]
  gen   540: best=4.82 edge=0.99 top_named_sim=0.579 named_in_top5=0 | ~b<<3@0.579 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [156s]
  gen   550: best=5.01 edge=1.00 top_named_sim=0.826 named_in_top5=0 | ~0@0.826 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [159s]
  gen   560: best=4.72 edge=1.00 top_named_sim=0.826 named_in_top5=0 | ~0@0.826 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [162s]
  gen   570: best=4.73 edge=1.00 top_named_sim=0.688 named_in_top5=0 | ~a<<4@0.688 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [165s]
  gen   580: best=4.83 edge=1.00 top_named_sim=0.630 named_in_top5=0 | ~a<<4@0.63 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [168s]
  gen   590: best=4.72 edge=1.00 top_named_sim=0.826 named_in_top5=0 | ~0@0.826 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [170s]
  gen   600: best=4.76 edge=1.00 top_named_sim=0.581 named_in_top5=0 | ~a*a@0.581 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [173s]
