
gpu_avida_loop | device=cuda | maxit=4 (reachable depth ~P*maxit=96) N=6144 gens=600

  HEADLINE: top_named_sim as a function of reachable depth. DROP with depth -> named region is
  shallow (depth was the gate). FLAT-HIGH -> naming-density extends deep (recognition is the ceiling).

  gen   350: best=5.20 edge=1.00 top_named_sim=0.577 named_in_top5=0 | ~(a+b)<<2@0.577 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [180s]
  gen   360: best=5.20 edge=1.00 top_named_sim=0.585 named_in_top5=0 | ~~(a|b)@0.585 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [185s]
  gen   370: best=5.20 edge=1.00 top_named_sim=0.575 named_in_top5=0 | ~a|b@0.575 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [190s]
  gen   380: best=5.20 edge=1.00 top_named_sim=0.584 named_in_top5=0 | ~~a|b@0.584 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [195s]
  gen   390: best=5.19 edge=1.00 top_named_sim=0.616 named_in_top5=0 | ~0@0.616 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [200s]
  gen   400: best=5.19 edge=1.00 top_named_sim=0.588 named_in_top5=0 | ~(a+b)<<2@0.588 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [205s]
  gen   410: best=5.20 edge=1.00 top_named_sim=0.577 named_in_top5=0 | ~(a+b)<<2@0.577 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [211s]
  gen   420: best=5.20 edge=1.00 top_named_sim=0.577 named_in_top5=0 | ~(a+b)<<2@0.577 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [216s]
  gen   430: best=5.20 edge=1.00 top_named_sim=0.577 named_in_top5=0 | ~(a+b)<<2@0.577 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [221s]
  gen   440: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0xFFFF@0.607 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [226s]
  gen   450: best=5.19 edge=1.00 top_named_sim=0.602 named_in_top5=0 | ~(a^b)<<2@0.602 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [231s]
  gen   460: best=5.19 edge=1.00 top_named_sim=0.618 named_in_top5=0 | ~(a+b)^a^b@0.618 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [236s]
  gen   470: best=5.20 edge=1.00 top_named_sim=0.577 named_in_top5=0 | ~(a+b)<<2@0.577 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [241s]
  gen   480: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0xFFFF@0.607 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [246s]
  gen   490: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0@0.607 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [251s]
  gen   500: best=5.17 edge=1.00 top_named_sim=0.580 named_in_top5=0 | ~0@0.58 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [257s]
  gen   510: best=5.20 edge=1.00 top_named_sim=0.585 named_in_top5=0 | ~~(a|b)@0.585 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [262s]
  gen   520: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0@0.607 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [267s]
  gen   530: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0@0.607 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [272s]
  gen   540: best=5.20 edge=1.00 top_named_sim=0.602 named_in_top5=0 | ~(a^b)<<2@0.602 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [277s]
  gen   550: best=5.19 edge=1.00 top_named_sim=0.616 named_in_top5=0 | ~0@0.616 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [282s]
  gen   560: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0xFFFF@0.607 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [287s]
  gen   570: best=5.20 edge=1.00 top_named_sim=0.602 named_in_top5=0 | ~(a^b)<<2@0.602 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [292s]
  gen   580: best=5.20 edge=1.00 top_named_sim=0.602 named_in_top5=0 | ~(a^b)<<2@0.602 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [297s]
  gen   590: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0xFFFF@0.607 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [303s]
  gen   600: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0@0.607 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [308s]
