
gpu_avida_loop | device=cuda | maxit=1 (reachable depth ~P*maxit=24) N=6144 gens=600

  HEADLINE: top_named_sim as a function of reachable depth. DROP with depth -> named region is
  shallow (depth was the gate). FLAT-HIGH -> naming-density extends deep (recognition is the ceiling).

  gen     0: best=3.29 edge=0.73 top_named_sim=1.000 named_in_top5=5 | ['a+b', '(a|b)+(a&b)'] | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [1s]
  gen    10: best=4.12 edge=1.00 top_named_sim=1.000 named_in_top5=5 | ['a^b', '(a|b)-(a&b)'] | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [3s]
  gen   290: best=5.15 edge=1.00 top_named_sim=0.578 named_in_top5=0 | ~(a+b)>>1@0.578 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [84s]
  gen   300: best=5.06 edge=1.00 top_named_sim=0.578 named_in_top5=0 | ~(a+b)>>1@0.578 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [87s]
  gen   310: best=5.15 edge=0.99 top_named_sim=0.540 named_in_top5=0 | ~~(a^b)@0.54 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [90s]
  gen   320: best=5.10 edge=0.99 top_named_sim=0.666 named_in_top5=0 | ~2a+b@0.666 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [92s]
  gen   330: best=5.00 edge=0.99 top_named_sim=0.540 named_in_top5=0 | ~~(a^b)@0.54 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [95s]
  gen   340: best=5.15 edge=0.99 top_named_sim=0.540 named_in_top5=0 | ~~(a^b)@0.54 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [98s]
  gen   350: best=4.95 edge=1.00 top_named_sim=0.578 named_in_top5=0 | ~(a+b)>>1@0.578 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [101s]
  gen   360: best=4.98 edge=0.99 top_named_sim=0.533 named_in_top5=0 | ~a|~b@0.533 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [104s]
  gen   370: best=5.02 edge=0.98 top_named_sim=0.540 named_in_top5=0 | ~(a+b)>>1@0.54 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [107s]
  gen   380: best=5.11 edge=1.00 top_named_sim=0.644 named_in_top5=0 | ~a^(b>>1)@0.644 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [110s]
  gen   390: best=5.01 edge=1.00 top_named_sim=0.644 named_in_top5=0 | ~a^(b>>1)@0.644 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [113s]
  gen   400: best=5.16 edge=1.00 top_named_sim=0.644 named_in_top5=0 | ~a^(b>>1)@0.644 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [116s]
  gen   410: best=4.92 edge=1.00 top_named_sim=0.551 named_in_top5=0 | ~a^b@0.551 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [118s]
  gen   420: best=4.93 edge=0.99 top_named_sim=0.666 named_in_top5=0 | ~2a+b@0.666 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [121s]
  gen   430: best=5.07 edge=1.00 top_named_sim=0.578 named_in_top5=0 | ~(a+b)>>1@0.578 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [124s]
  gen   440: best=4.90 edge=1.00 top_named_sim=0.578 named_in_top5=0 | ~(a+b)>>1@0.578 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [127s]
  gen   450: best=5.16 edge=1.00 top_named_sim=0.656 named_in_top5=0 | ~a^(b>>1)@0.656 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [130s]
  gen   460: best=4.88 edge=0.99 top_named_sim=0.545 named_in_top5=0 | ~a>>1@0.545 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [133s]
  gen   470: best=4.99 edge=1.00 top_named_sim=0.546 named_in_top5=0 | ~a|~b@0.546 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [136s]
  gen   480: best=5.03 edge=0.99 top_named_sim=0.549 named_in_top5=0 | ~2b-a@0.549 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [139s]
  gen   490: best=4.99 edge=1.00 top_named_sim=0.546 named_in_top5=0 | ~a|~b@0.546 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [142s]
  gen   500: best=5.13 edge=0.99 top_named_sim=0.661 named_in_top5=0 | ~a-b@0.661 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [144s]
  gen   510: best=4.99 edge=1.00 top_named_sim=0.546 named_in_top5=0 | ~a|~b@0.546 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [147s]
  gen   520: best=4.99 edge=1.00 top_named_sim=0.546 named_in_top5=0 | ~a|~b@0.546 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [150s]
  gen   530: best=5.00 edge=0.99 top_named_sim=0.666 named_in_top5=0 | ~2a+b@0.666 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [153s]
  gen   540: best=5.05 edge=0.99 top_named_sim=0.689 named_in_top5=0 | ~(a^b)<<1@0.689 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [156s]
  gen   550: best=4.94 edge=0.99 top_named_sim=0.689 named_in_top5=0 | ~(a^b)<<1@0.689 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [159s]
  gen   560: best=5.01 edge=1.00 top_named_sim=0.656 named_in_top5=0 | ~a^(b>>1)@0.656 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [162s]
  gen   570: best=4.89 edge=0.99 top_named_sim=0.689 named_in_top5=0 | ~(a^b)<<1@0.689 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [165s]
  gen   580: best=5.08 edge=0.99 top_named_sim=0.689 named_in_top5=0 | ~(a^b)<<1@0.689 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [168s]
  gen   590: best=5.16 edge=1.00 top_named_sim=0.656 named_in_top5=0 | ~a^(b>>1)@0.656 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [170s]
  gen   600: best=5.15 edge=1.00 top_named_sim=0.578 named_in_top5=0 | ~(a+b)>>1@0.578 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [173s]
