
gpu_avida_loop | device=cuda | maxit=4 (reachable depth ~P*maxit=96) N=6144 gens=600

  HEADLINE: top_named_sim as a function of reachable depth. DROP with depth -> named region is
  shallow (depth was the gate). FLAT-HIGH -> naming-density extends deep (recognition is the ceiling).

  gen   360: best=5.20 edge=1.00 top_named_sim=0.575 named_in_top5=0 | ~a|b@0.575 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [186s]
  gen   370: best=5.20 edge=1.00 top_named_sim=0.584 named_in_top5=0 | ~~a|b@0.584 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [192s]
  gen   380: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0@0.607 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [197s]
  gen   390: best=5.20 edge=1.00 top_named_sim=0.584 named_in_top5=0 | ~~a|b@0.584 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [202s]
  gen   400: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0xFFFF@0.607 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [207s]
  gen   410: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0xFFFF@0.607 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [212s]
  gen   420: best=5.20 edge=1.00 top_named_sim=0.584 named_in_top5=0 | ~~a|b@0.584 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [217s]
  gen   430: best=5.20 edge=1.00 top_named_sim=0.584 named_in_top5=0 | ~~a|b@0.584 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [223s]
  gen   440: best=5.20 edge=1.00 top_named_sim=0.584 named_in_top5=0 | ~~a|b@0.584 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [228s]
  gen   450: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0xFFFF@0.607 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [233s]
  gen   460: best=5.20 edge=1.00 top_named_sim=0.620 named_in_top5=0 | ~0@0.62 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [238s]
  gen   470: best=5.20 edge=1.00 top_named_sim=0.583 named_in_top5=0 | ~0xFFFF@0.583 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [243s]
  gen   480: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0xFFFF@0.607 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [248s]
  gen   490: best=5.20 edge=1.00 top_named_sim=0.602 named_in_top5=0 | ~(a^b)<<2@0.602 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [254s]
  gen   500: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0@0.607 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [259s]
  gen   510: best=5.20 edge=1.00 top_named_sim=0.589 named_in_top5=0 | ~a|b@0.589 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [264s]
  gen   520: best=5.20 edge=1.00 top_named_sim=0.558 named_in_top5=0 | ~0xFFFF@0.558 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [269s]
  gen   530: best=5.20 edge=1.00 top_named_sim=0.599 named_in_top5=0 | ~a*a@0.599 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [274s]
  gen   540: best=5.19 edge=1.00 top_named_sim=0.683 named_in_top5=0 | ~2a-b@0.683 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [280s]
  gen   550: best=5.20 edge=1.00 top_named_sim=0.558 named_in_top5=0 | ~0xFFFF@0.558 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [285s]
  gen   560: best=5.20 edge=1.00 top_named_sim=0.577 named_in_top5=0 | ~0xFFFF@0.577 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [290s]
  gen   570: best=5.20 edge=1.00 top_named_sim=0.602 named_in_top5=0 | ~(a^b)<<2@0.602 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [295s]
  gen   580: best=5.20 edge=1.00 top_named_sim=0.589 named_in_top5=0 | ~a<<4@0.589 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [300s]
  gen   590: best=5.20 edge=1.00 top_named_sim=0.554 named_in_top5=0 | ~0xFFFF@0.554 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [305s]
  gen   600: best=5.20 edge=1.00 top_named_sim=0.584 named_in_top5=0 | ~~a|b@0.584 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [311s]
